id,title,platform,type,listed_in,release_year,duration,duration_type,cast
1,The Grand Seduction,amazon,movie,"comedy, drama",2014,113,min,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent"
2,Take Care Good Night,amazon,movie,"drama, international",2018,110,min,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar"
3,Secrets of Deception,amazon,movie,"action, drama, suspense",2017,74,min,"Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi"
4,Pink: Staying True,amazon,movie,documentary,2014,69,min,"Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!"
5,Monster Maker,amazon,movie,"drama, fantasy",1989,45,min,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield"
6,Living With Dinosaurs,amazon,movie,"fantasy, kids",1989,52,min,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney"
7,Hired Gun,amazon,movie,"documentary, special interest",2017,98,min,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson"
8,Grease Live!,amazon,movie,comedy,2016,131,min,"Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn"
9,Global Meltdown,amazon,movie,"action, science fiction, suspense",2017,87,min,"Michael Paré, Leanne Khol Young, Patrick J. MacEachern"
10,David's Mother,amazon,movie,drama,1994,92,min,"Kirstie Alley, Sam Waterston, Stockard Channing"
11,Forest Fairies,amazon,movie,"adventure, kids",2016,88,min,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier"
12,Take Care,amazon,movie,comedy,2014,93,min,"Leslie Bibb, Kevin Curtis, Nadia Dajani"
13,The Night Eats The World,amazon,movie,"horror, suspense",2018,94,min,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos"
14,Resilencia,amazon,movie,"documentary, sports",2020,46,min,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara"
15,Elon Musk: The Real Life Iron Man,amazon,movie,documentary,2018,74,min,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper"
16,Summer '03,amazon,movie,"comedy, drama",2019,96,min,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise DuQuette"
17,Zoombies,amazon,movie,"horror, science fiction",2016,87,min,"Marcus Anderson, Kaiwi Lyman, Andrew Asper"
18,Zoo Babies,amazon,tv show,"kids, special interest",2008,1,season,Narrator - Gillian Barlett
19,Zoë Coombs Marr: Bossy Bottom,amazon,tv show,"comedy, talk show and variety",2020,1,season,Zoë Coombs Marr
20,Zoe,amazon,movie,science fiction,2018,104,min,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim"
21,Zoboomafoo,amazon,tv show,kids,2001,1,season,No data
22,Zo Zo Zombie: Mini-Series,amazon,tv show,"action, anime, comedy",2020,1,season,"Alex Cazares, Ben Diskin, Cristina Vee, Erika Ishii"
23,Zis Boom Bah,amazon,movie,"arts, entertainment, and culture, comedy, drama",1941,62,min,"Grace Hayes, Mary Healy"
24,ZeroZeroZero,amazon,tv show,tv shows,2020,1,season,"ANDREA RISEBOROUGH, HAROLD TORRES, CLAUDIA PINEDA, TCHEKY KARYO, GIUSEPPE DE DOMENICO, GABRIEL BYRNE, DANE DEHAAN, ADRIANO CHIARAMIDA"
25,Zandalee,amazon,movie,drama,1991,94,min,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano, Viveca Lindfors, Aaron Neville, Steve Buscemi, Ian Abercrombie, Marisa Tomei, Jo-El Sonnier, Newell Alexander, Blaise Delacroix, Eliott Keener, Richard Greenberg, John Cutler, Thomas Iain"
26,Zambezi: Force of Life,amazon,movie,documentary,2005,50,min,No data
27,Zahara: The Return,amazon,tv show,tv shows,2020,1,season,"Natasha Heschélle, Curtis Morgan, Hannah Scott, Dennis Nimoh, Christine Nguyen"
28,Z: The Beginning of Everything,amazon,tv show,"comedy, drama",2017,1,season,"Christina Ricci  , David Hoflin"
